sample-id	forward-absolute-filepath	reverse-absolute-filepath	batch	groups
HF_11	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_11.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_11.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_12	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_12.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_12.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_13	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_13.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_13.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_14	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_14.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_14.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_15	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_15.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_15.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_16	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_16.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_16.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_17	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_17.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_17.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_19	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_19.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_19.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_20	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_20.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_20.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_21	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_21.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_21.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_22	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_22.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_22.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_23	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_23.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_23.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_24	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_24.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_24.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_25	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_25.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_25.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_26	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_26.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_26.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_27	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_27.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_27.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_28	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_28.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_28.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_29	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_29.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_29.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_30	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_30.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_30.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_31	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_31.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_31.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_32	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_32.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_32.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_33	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_33.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_33.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_34	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_34.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_34.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_35	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_35.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_35.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_36	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_36.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_36.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_37	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_37.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_37.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_38	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_38.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_38.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_39	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_39.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_39.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_41	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_41.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_41.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_42	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_42.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_42.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_43	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_43.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_43.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_44	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_44.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_44.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_45	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_45.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_45.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_46	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_46.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_46.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_47	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_47.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_47.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_48	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_48.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_48.338F_806R.R2.raw.fastq.gz	chijunhao	HF
HF_49	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_49.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/HF_49.338F_806R.R2.raw.fastq.gz	chijunhao	HF
MF_1	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_1.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_1.338F_806R.R2.raw.fastq.gz	chijunhao	MF
MF_3	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_3.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_3.338F_806R.R2.raw.fastq.gz	chijunhao	MF
MF_5	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_5.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_5.338F_806R.R2.raw.fastq.gz	chijunhao	MF
MF_7	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_7.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_7.338F_806R.R2.raw.fastq.gz	chijunhao	MF
MF_9	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_9.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_9.338F_806R.R2.raw.fastq.gz	chijunhao	MF
MF_11	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_11.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_11.338F_806R.R2.raw.fastq.gz	chijunhao	MF
MF_13	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_13.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_13.338F_806R.R2.raw.fastq.gz	chijunhao	MF
MF_15	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_15.338F_806R.R1.raw.fastq.gz	/data1/public/datas/duck/duck_16S_ITS/01.LAD.N308.meiji.20260731/MJ20260614048-ZX-M-260616047-池俊豪-微生物多样性（多引物）分析-308个样本/data.338F_806R/rawData/MF_15.338F_806R.R2.raw.fastq.gz	chijunhao	MF
