genus	Homogentisic acid	Catechin	3-Methoxybenzenepropanoic acid	Acesulfame	Tartaric acid	Mannose	Tryptophol	Umbelliferone	Quinaldic acid	Isocitric acid	"3,3-Dimethylglutaric acid"	Oxindole-3-acetic acid	"2,4'-Dihydroxyacetophenone"	"3,5-Diiodo-L-tyrosine"	Ribulose	Arabinose	Arabinonic acid	Inosine	Syringic acid	Guanosine (G)	Heptacosanoic acid	Butyrylcarnitine(C4)	4-Hydroxycinnamic acid	Vanillymandelic Acid	3-Phenylbutyric acid	Ascorbic acid	Quinolinic acid	Indoleacetic acid	"3,4-Dihydro-2H-1-benzopyran-2-one"	Cysteic acid	"1,2,3-Propanetricarboxylic acid"	"2,3-Diaminopropionic acid"	Glutaric acid	Lactulose	Vanillic acid	Mandelic acid
g__Agrococcus	0.636759163819689	0.542402708921626	0.596090544999433	0.777859131441405	0.306760824997694	0.927193022328853	0.983380700806664	0.937728318313679	0.922190170595364	0.385192382458872	0.594597531617122	0.988366178179012	0.731540973874456	0.520224361544979	0.94463646870772	0.973059176152158	0.23483640225635	0.588852871552285	0.683208787472843	0.839755917629007	0.611161312725927	0.836013689193505	0.444014914410086	0.902350393436034	0.450389928467719	0.393481614934671	0.459296055818282	0.782465816331558	0.907230633151977	0.12882182362954	0.766148287806969	0.764501272104115	0.872468658764193	0.720128480707248	0.573749648785896	0.296637504309882
g__Akkermansia	0.176466189624018	0.00493347114521125	0.0915203367793383	0.615898896094882	0.851505683652174	0.232000088920571	0.339855456310206	0.302345685020731	0.000736053448322828	0.728190073443602	0.00401872965546654	0.178041092488423	0.371719827474478	0.0422413524360436	0.0192348162105635	0.0121863429327309	0.980588923399201	0.0338873122859662	0.0524359520534059	0.00493347114521125	0.199459810287332	0.637788506376494	0.150244780092003	0.509455688127831	0.00767955882426071	0.442248250166771	0.246013111441693	0.00890782934851036	0.673668346166984	0.986735140339148	0.87368787388252	0.994310798920001	0.277718868828176	0.308958882832128	0.0673674881875333	0.163265012029881
g__Alangreenwoodia	0.0145571959322464	0.047743922137157	0.18164305806902	0.38587832545794	0.678883125949943	0.897459808061167	0.00672388674977197	0.0677452757026137	7.08840292855454e-07	0.0483867612874391	1.62540751148471e-06	0.0139322506575396	0.0146962690230272	0.0021931266591091	0.464149356897814	0.596511811980407	0.445598194744052	0.023369135925722	6.3752857627377e-05	0.00016977516450887	0.0521760485041713	0.21893448276196	0.0296678873309933	0.109803272549558	2.58260177096423e-06	0.0887856091550808	0.0250093065382805	0.0571840899645025	0.469117867969764	0.825594172740146	0.292210585069732	0.272636012497114	0.690453152081998	0.0730953705683672	0.00614542074145301	0.0206880130998645
g__Alectryobacillus	0.0859717918905537	0.269167137184209	0.0748703266137468	0.302257281740236	0.849587155529434	0.0730764993511316	0.709262377180148	0.739482954155714	0.000501950069025932	0.362226170480445	0.00159985985897565	0.740858847051352	0.197210804308001	0.0942641400068455	0.201625347893198	0.350332624873234	0.721929804151506	0.636759163819689	0.0498905599578059	0.152927147539386	0.200803907423908	0.847358946750597	0.105245520779295	0.986499068776436	0.0391084107950503	0.306871954299374	0.125377587269333	0.460589717215393	0.865485213938601	0.422073541852814	0.985944957612429	0.961761559264245	0.0910840390576787	0.404326792443655	0.13555415294422	0.0576553392914528
g__Aliarcobacter	0.968556479163787	0.883872169548088	0.322873123572306	0.811334198622529	0.989022988147911	0.951491920259183	0.70930468369814	0.852847330881008	0.666657773285906	0.988532334583994	0.77285528313743	0.956317875497141	0.573749648785896	0.693599297403003	0.694825707203525	0.641357779503044	0.958381292319429	0.264634105096784	0.928242233529024	0.537083878059726	0.747874862251556	0.890947494853722	0.858925617557192	0.980884090333904	0.740858847051352	0.898475219312181	0.865585314095624	0.494791208337086	0.792414316585517	0.991810432066721	0.543273443937034	0.880857962228539	0.95129086248965	0.940927097780746	0.881454583292998	0.583267817301525
g__Aliicoccus	0.956317875497141	0.496118630892091	0.860655413230956	0.611161312725927	0.755940455923836	0.611161312725927	0.699919854700502	0.87368787388252	0.707293983526456	0.721545824012808	0.83901983282869	0.68549155175956	0.435878699044138	0.2270533968843	0.83901983282869	0.803943773907441	0.618632679297927	0.770464201815184	0.937646906744846	0.462479452857505	0.912989646404079	0.567545047475443	0.956317875497141	0.370357854638188	0.265094621923096	0.832066441721868	0.236470233897371	0.74181804328018	0.866960164119641	0.573985639698796	0.370357854638188	0.468729631352615	0.770464201815184	0.974753173911507	0.925970893187663	0.810661826103317
g__Alistipes	0.446788957840088	0.423498060432668	0.00299984232751492	0.349677382401513	0.980347612484473	0.858351894022629	0.558454811902484	0.86008801834324	0.0567622621965747	0.838902474511661	0.190586750374082	0.744322134541601	0.690453152081998	0.11721420939416	0.284681424738703	0.417259452899791	0.275424757810763	0.129293456731657	0.722568245709883	0.0167333325776747	0.188985546185821	0.808379955703661	0.556787931663141	0.868421401576611	0.00569485472085691	0.899235978093801	0.87977704451752	0.0572694389493875	0.313942370381828	0.845100411856282	0.433765929943782	0.978250005921288	0.370017604642116	0.970453663201573	0.440936917753866	0.892869485125584
g__Alistipes_A	0.631873447266906	0.268497330741227	0.611161312725927	0.723126441284188	0.630392037431473	0.466697719435934	0.303469739030345	0.282714737969435	0.00531513692185362	0.621533352673628	0.00418665991235151	0.171305766920065	0.275383769771814	0.0906720586873683	0.328460836374759	0.513666325144873	0.0678915071728182	0.109145479090635	0.0442590375593764	0.0138560798625459	0.0830304597647783	0.0785790228924099	0.509031268671205	0.555744855846089	0.00423238127307922	0.437301895601422	0.516278337686911	0.331178395438827	0.898490849691062	0.364070133084989	0.312848308545677	0.87368787388252	0.0847510840621644	0.512711698347794	0.321460995339235	0.236470233897371
g__Alloclostridium	0.422424373971335	0.333426558531897	0.443891098305671	0.143704874012359	0.781102578877907	0.541426527569192	0.806439449688846	0.650413402251052	0.000146595924901801	0.45439771279807	0.0929761494967587	0.539314981265859	0.130534125908553	0.290126713493796	0.203192823050508	0.227945897902436	0.704066311588925	0.72276121428027	0.178261933064908	0.391875886841938	0.825067030018221	0.635371587342885	0.461750770444536	0.679032756464571	0.249044104021489	0.935740779891473	0.618519966472872	0.169381958673232	0.85226163898379	0.859362848518575	0.176416121207804	0.997979830515439	0.0100626054156444	0.312411927435279	0.223915701193893	0.498781785721599
g__Alloprevotella	0.0356509148038233	0.0275053921854153	0.305299294716341	0.0120298681989885	0.653112407298197	0.363134306350135	0.0108965379259484	0.00514800041767605	0.0853278337011131	0.168430952776521	0.0058907891699258	0.00139556720880178	0.118698355159298	0.0800928759206643	0.103745554831483	0.0649991339843301	0.689265116456364	0.0168915737576379	0.00579898278101749	0.0042606038521729	0.00408996244395731	0.900789489837941	0.179373361012853	0.0778385425552863	0.00332633779927149	0.217219263538082	0.337591025728227	0.00205716484187331	0.929615844086774	0.563256265553505	0.00832278932616728	0.349729755462516	0.604454904618835	0.870429187308721	0.160479061264159	0.537393092312278
g__Amedibacterium	0.126372220968549	0.786494422127716	0.57362477503986	0.000942766005063816	0.796141045595446	0.70192959661393	0.00487060704150164	0.00693247464179847	0.746344968261517	0.385771660119196	0.69271836750126	9.41126519282423e-05	0.0869339817387074	0.979545388422057	0.739127010681551	0.765978382129031	0.665736172110652	0.142896392559349	0.376561843124267	0.190281109591342	0.169601464801665	0.570270448451534	0.466898507817248	0.00135412302091154	0.396485018430847	0.0820114513283941	0.239479691441798	0.0558346793130666	0.683208787472843	0.897999788054237	0.0023566255881644	0.162152293849273	0.000139055134257544	0.477648022704699	0.323214447668475	0.705786985696815
g__Anaerobiospirillum	0.101384858024087	0.116988511435516	0.72215162824863	0.158659461210751	0.736220643973277	0.0464429132536699	0.270166261854527	0.218395321582698	0.0395662207117686	0.149951860064007	0.0415429505845715	0.160829812563183	0.173840514637818	0.207235941871214	0.447428608578199	0.58389785719598	0.634859907910679	0.48703855663228	0.041397333868789	0.295438819122772	0.0844366400257794	0.643838302458294	0.526078761690794	0.107181098351488	0.551327677152816	0.253951482276152	0.0390271972154713	0.728626816194487	0.77923354111459	0.173205234757892	0.0388505360609159	0.978293465839358	0.553426612887225	0.21710382001717	0.19671797424585	0.0800661491737592
g__Anaerobutyricum	0.000347181931252571	0.0560387315046636	0.0194299786941948	0.211428599307963	0.698565484455591	0.0733320827177376	0.0590436445932661	0.0275053921854153	0.00012663611739631	0.069325384784174	0.00131153037130437	0.0136039018408021	0.00515898610114855	0.01900589401529	0.0189310289191891	0.00946313245213717	0.565384173973659	0.00299181215983016	0.00055070904518997	0.000155762028462409	0.314766739737369	0.995790794769441	0.0212057263148004	0.0576345329203998	0.0465476291835345	0.227452274887599	0.0170157417727372	0.0159587340150176	0.97525759791848	0.899333294346812	0.514096625330301	0.0717421251985156	0.609493650414387	0.148805151223634	0.00843064461971066	0.0339033023184043
g__Anaerofilum	0.000502010229535411	0.184405785173827	0.095994153622196	0.0242617582763911	0.0932115735276153	0.572150273447882	0.00374717136268365	0.0680291612494787	0.0139524126948567	0.0775048914641841	0.00475949738877793	0.0108965379259484	0.00432770397538429	0.0130802792906365	0.160146811542184	0.241461840650107	0.868560703943145	0.0209570426805819	0.00153702680341749	0.000501950069025932	0.0915705964416205	0.95545598086938	0.0109588481258598	0.0119090315906753	0.0022557397831397	0.0805223832208005	0.0296033405348604	0.278697042851175	0.850784628100852	0.443168664473809	0.337679302182834	0.0272421636436579	0.437771807637525	0.344761675577899	0.00671659371263712	0.357733998612313
g__Anaeromassilibacillus	0.0352692878544483	0.33756427047406	0.416990204355357	0.467246739627746	0.031795515234356	0.950030989951395	0.356521127659699	0.285733789749211	0.00118380476292134	0.152803159377245	0.0120001490856866	0.66317773052195	0.0586708960459186	0.0355874026009989	0.650680247267539	0.841388295871309	0.973282278366723	0.292228023274628	0.0149421416468086	0.0298641179093585	0.913473667759979	0.306887215094871	0.0292403558704197	0.686995679009082	0.000502010229535411	0.890947494853722	0.490407790093171	0.671760370124792	0.286184548235074	0.270382755801483	0.133363668993457	0.945753641914633	0.148722993706299	0.667557035318818	0.0143883620090672	0.341976147725617
g__Anaeroplasma	0.932133459465137	0.623495111499294	0.608859187815694	0.757274401478045	0.342098139068008	0.617881599520356	0.859362848518575	0.260934826341593	0.0386566602102944	0.447010379628781	0.721707084796598	0.818021821516453	0.873499089121664	0.422782231676936	0.490061007799122	0.459594376366696	0.929148596328417	0.97571192824811	0.426766616002955	0.315839582892835	0.630915583631791	0.456479669911244	0.381292240477735	0.684310374825423	0.32730192909517	0.822688197883612	0.672604603950143	0.88922337965041	0.895624889394034	0.773433384080083	0.818021821516453	0.728740387529125	0.415462744320582	0.67686624248455	0.584919774992131	0.674210491085184
g__Anaerosporobacter	0.403941257928493	0.704066311588925	0.55051879880277	0.433550100422057	0.965451739481729	0.135624454911474	0.370017604642116	0.256680777449422	0.956310169036152	0.39431658587446	0.963500803120119	0.217985897035199	0.20116898744214	0.416286363937248	0.408016238664487	0.284419906165495	0.169625198477407	0.76868092513343	0.292469922426101	0.836013689193505	0.943206466406191	0.795998061664095	0.265964329746334	0.3506393461252	0.960739491077942	0.160366740704479	0.323456476007424	0.182416607104401	0.772453633021949	0.483027498394913	0.912211757144118	0.63970212630894	0.558194034625457	0.139957883899779	0.441614274542789	0.977456287390402
g__Anaerostipes	0.00933458554907766	0.0482767003639931	0.30165766543432	0.48173750870568	0.262096841732044	0.327427740984796	0.278972998310392	0.901475878424212	3.59569923033249e-06	0.0809690033209194	0.000123096731048496	0.99118048515829	0.0619810784898244	0.00109898108110961	0.236132691490421	0.263110136175864	0.992766585341913	0.173429405648825	0.00131153037130437	0.00471748325708524	0.161851517058633	0.920309262344963	0.0170640215859479	0.950443033124284	0.077416482190598	0.437032360350101	0.0579872648247775	0.513420813363813	0.749416899413585	0.471135265629326	0.880134395351477	0.528133732781938	0.0146726195131397	0.188244479893589	0.009056469386352	0.0408710160811771
g__Anaerotardibacter	0.00324166245950575	0.0758406153726967	0.468502096008375	0.13669690310671	0.254654485553146	0.258161420357219	0.000957233976974004	0.00660260938443042	0.0501301290452914	0.0780644376185705	0.0142900660383571	0.000535682608917471	0.0743203048028648	0.137746695816213	0.0902690178464004	0.143035812070562	0.769253899072917	0.0218515649298958	0.00105960112156767	0.0125601681708847	0.123619226460173	0.221865795142876	0.0118809254011492	0.370357854638188	0.446775558984738	0.29810159319255	0.202344573028845	0.0697426920476852	0.755940455923836	0.930626894460738	0.0873078103089821	0.265093582501014	0.700632203007108	0.787072806373258	0.0100435208683731	0.0422754342939029
g__Anaerotignum	0.594103807321551	0.785231075718866	0.141577725132595	0.223224150479623	0.596350104113096	0.907242844208612	0.562121653968953	0.251185888845451	0.658381584709166	0.893096666307499	0.567574573913348	0.0692866357123941	0.475284167847585	0.931156270106322	0.68679528768914	0.718837918608944	0.32723648157608	0.64809135559883	0.740858847051352	0.567280955743258	0.69437006651388	0.80493293768716	0.846397018574626	0.825669479168962	0.491268383988391	0.346759689281219	0.301897320199712	0.708051727847159	0.673035924895887	0.248779170213609	0.381784805735868	0.344587356413971	0.583624215536191	0.775782075234782	0.952446916556541	0.182659113756917
g__Anaerovibrio	0.422021729883321	0.574626397385695	0.639176317209629	0.428319617537166	0.00872244527766623	0.447364925133147	0.68679528768914	0.693186840692475	0.355140387098401	0.549315874559957	0.952536526659597	0.592136198473489	0.824795920612261	0.219915870217887	0.77285528313743	0.732027748018674	0.12422521017252	0.442142479344369	0.962344812282831	0.871463494038508	0.588714341916794	0.884632002579971	0.645427806927441	0.952938874892656	0.72448994577581	0.663064894944265	0.97571192824811	0.720309191039922	0.274294750995108	0.031468628993802	0.146952971631239	0.74181804328018	0.622320592184138	0.656739516590881	0.728373449980484	0.318127821022682
g__Aphodocola	0.383720894308105	0.296018928847006	0.728626816194487	0.18336961579449	0.0608977191973202	0.973838117194078	0.0542444826637657	0.0116868965030424	0.0319832585229194	0.741755191051602	0.0132246705666004	0.00278513773665994	0.176497679563311	0.270692580885192	0.395187098967268	0.436491635579705	0.00602347868979813	0.00737407902260009	0.0464964625749653	0.000169090769267805	0.0722354507015403	0.0645811279211177	0.787860103262775	0.0660785942793527	0.000209990539715606	0.664364948576022	0.385771660119196	0.0119880542000596	0.780968960803973	0.478399601575993	0.430073636481687	0.897274867020205	0.305299294716341	0.220637833635563	0.211521541810117	0.710831449403867
g__Aphodomorpha	0.384748926687824	0.862439126693827	0.235841826801093	0.00546689660925061	0.740731358191308	0.946644055966871	0.0713093908635344	0.0339772309707997	0.00182753253959209	0.460937863497815	0.0611389264883426	0.00322229983050138	0.738295365415967	0.0523064043819957	0.702239687120142	0.869557008178124	0.693033854570202	0.581235611711241	0.40248865841166	0.107021241695034	0.881591780806352	0.355088932259019	0.824580953875831	0.21824116259589	0.0528918705353032	0.908589804205871	0.601327439773381	0.450529674289842	0.835951987660847	0.788970379480285	0.000946120887074435	0.957568340239856	3.5241998783396e-05	0.413461585801161	0.677963796719855	0.684958137120494
g__Aphodosoma	0.990743376447886	0.65930437536288	0.639176317209629	0.0030278005948007	0.303469739030345	0.772438608511124	0.0540131498549909	0.0110634495477701	0.304823722154429	0.247681315198936	0.608844240403168	0.000163211183905746	0.856525586631676	0.535947988806867	0.852847330881008	0.926972403938338	0.252706742913611	0.161141803233175	0.867470377734156	0.470629171217319	0.707923369793601	0.932938526995173	0.97571192824811	0.128389980063878	0.97571192824811	0.785882815386006	0.794167818822391	0.24537902880765	0.642552860479316	0.914582855786108	0.0325119033951208	0.938529629727901	0.00066261497623826	0.511450583352251	0.992600680177893	0.722984758726881
g__Aphodousia	0.00338662857865031	0.00238397856278064	0.0412932605201684	0.727666256595141	0.201485377163559	0.354477492376855	0.0509632471966365	0.178041092488423	6.03791998382978e-08	0.0175985225494948	1.39631153294541e-06	0.0510485804374637	0.00740956142051747	0.000238315283073922	0.0812222356931165	0.151502132743601	0.663929983430463	0.00456450538961628	6.53872540298266e-05	3.97841753232446e-05	0.00650996345311435	0.743095542365498	0.0260907914959446	0.230319227037161	0.000237273910075925	0.102361743724421	0.0426853442232503	0.0265822734358156	0.704592383438604	0.894121206920044	0.406597468671877	0.438994387587373	0.104406064425751	0.136402045958005	0.00978631143699168	0.0044482453093299
g__Aphodovivens	0.028606911653846	0.156477565290484	0.196068944256382	0.404580288344905	0.838230100342428	0.888760002816415	0.0265031280333608	0.205096881002204	5.17897282085414e-05	0.21448099315785	0.000418718967501963	0.0298176681978275	0.0223160326312056	0.00417043364591341	0.617881599520356	0.741047799736711	0.248130392654539	0.00521605047463764	0.000805822466219311	5.79092466783882e-05	0.115901889061285	0.43851292663373	0.0515617150083605	0.488513978407682	0.0153343886631602	0.320716319244343	0.0823960716165952	0.415119782850992	0.418743127485673	0.736220643973277	0.721545824012808	0.378871605679931	0.44772312933506	0.253026520331396	0.0137267306555459	0.0146171806360642
g__Aquirickettsiella	0.486490185084502	0.933220555175999	0.143533629858619	0.357378612667976	0.691754043942306	0.467037868511581	0.236361572940039	0.730493597878491	0.736031290471064	0.803666360032294	0.888649314152148	0.402116645748698	0.878789055329053	0.577819990159977	0.463723815230833	0.711597893632842	0.673433778597364	0.389150409007776	0.992071310309881	0.984654726032885	0.866652566287844	0.863778486080668	0.565267027570328	0.621227489955186	0.720128480707248	0.777155723558739	0.793407828950931	0.52568079876014	0.884745561126087	0.859942815465925	0.910932271624696	0.860655413230956	0.45508696122024	0.131967067831814	0.737784622016194	0.931812326646038
g__Arachnia	0.694815859854401	0.59225696343965	0.624804686979116	0.527476464351988	0.814819835222021	0.972220987900796	0.945395558145012	0.644114428065622	0.49307448280598	0.951491920259183	0.370544541821098	0.609959143716171	0.442522352178672	0.608070402899219	0.830111144019522	0.620589418527724	0.400998327895391	0.922879987726332	0.743011617677129	0.827817931065441	0.35868958515678	0.881152969984769	0.940059920208563	0.985005503496589	0.03086260817773	0.979931910291984	0.979261380553646	0.691583442380674	0.834973302646245	0.902098784119346	0.731683493416906	0.677361667695758	0.418345483585853	0.796982304274297	0.793455446393777	0.958133744000476
g__Avanaerovorax	0.0307203858179422	0.0524201672786322	0.262203339920094	0.556787931663141	0.954526540106023	0.860713483383421	0.101782767034571	0.175321949376453	2.20492602827688e-05	0.297911176204969	7.54177122402335e-05	0.0595632415611724	0.0362880264216762	0.00908573648448941	0.261212303235881	0.415335456583219	0.571208822503345	0.00880518055373179	0.00262057298490678	0.000180968767785403	0.0780878288188089	0.201284244338759	0.0542444826637657	0.517569590754003	0.00186524216901198	0.316841800412754	0.0253921552616371	0.0203229067521557	0.772950078981747	0.998018904434051	0.566694533103291	0.403760153103595	0.391790467554602	0.265627958693487	0.0256354320540152	0.452422627592403
g__Aveggerthella	0.366315970948832	0.857033961005117	0.875210828215993	0.000942766005063816	0.816890346938563	0.745385215551098	0.0061020385123317	0.0042763221057123	0.829415589971869	0.516259318082632	0.500536542348906	0.000658301082634275	0.142861934356684	0.430760110250563	0.551933672179206	0.322128192964851	0.284650110922396	0.549392857394636	0.164217887563287	0.103958936478235	0.579307315642515	0.999213074546116	0.240434429371093	0.0940488709385777	0.380904018558411	0.0602651887702467	0.309115169561196	0.831344989977175	0.38748912654646	0.548724086456548	0.0401465766052413	0.196111494785021	0.0392376308439516	0.767696643923484	0.520840361799111	0.265094621923096
g__Avelusimicrobium	0.650413402251052	0.376579447256736	0.367651610165559	0.692336970792721	0.525635415878874	0.457256497087515	0.91627262168027	0.673090317651304	0.0130307322892605	0.877550053806343	0.432917004912914	0.871463494038508	0.464898033620776	0.302379662634051	0.299857713844966	0.370490675636423	0.815051148935117	0.434959727289304	0.557701308990278	0.165312576956429	0.721526144855242	0.954045644479223	0.604084762014321	0.51003474059208	0.242964482645118	0.759171037516379	0.79574873561028	0.463884127432183	0.422219272430876	0.915917393436399	0.174324631564381	0.984801392603989	0.0120729392793159	0.827932617810508	0.422859553358894	0.848202319586322
g__Avibacterium	0.593566100500719	0.735154368762447	0.42451492947257	0.556787931663141	0.416766327414584	0.935711777061654	0.794167818822391	0.901475878424212	0.993068667984552	0.79023948045262	0.836101006665385	0.687987686399624	0.838321752281724	0.789218956280553	0.376646847104046	0.298138669337038	0.894015706718243	0.446775558984738	0.923899303894513	0.596822535016033	0.994477794412998	0.491908363163058	0.611528163845753	0.777155723558739	0.806712548007104	0.947145324169151	0.862663527764864	0.707950817478987	0.761576966834633	0.74181804328018	0.551373009346156	0.958251495073238	0.933954324532944	0.578661042608308	0.999589801775081	0.801764864707121
