ARGs_type,Risk_Level,Drug_Class
nimE,Risk V,nitroimidazole
mdtB,Risk V,aminocoumarin
sdrM,Risk V,fluoroquinolone ; disinfecting agents and antiseptics
AAC(6')-Ii,Risk V,aminoglycoside
eptB,Risk V,peptide
vanUG,Risk V,glycopeptide
catQ,Risk V,phenicol
tet(36),Risk V,tetracycline
mdtH,Risk V,fluoroquinolone
sepA,Risk V,disinfecting agents and antiseptics
OmpA,Risk V,peptide
cepA,Risk V,cephalosporin
emrA,Risk V,fluoroquinolone
mdtE,Risk V,multidrug
mdtA,Risk V,aminocoumarin
vanHD,Risk V,glycopeptide
nimI,Risk V,nitroimidazole
msbA,Risk V,nitroimidazole
AAC(6')-Ib7,Risk V,aminoglycoside
eptA,Risk V,peptide
QnrB6,Risk V,fluoroquinolone
Clostridium perfringens mprF,Risk V,peptide
BLMT,Risk V,glycopeptide
CrcB,Risk V,aminoglycoside
acrB,Risk V,multidrug
mdtP,Risk V,nucleoside ; disinfecting agents and antiseptics
nimF,Risk V,nitroimidazole
mdtF,Risk V,multidrug
nimK,Risk V,nitroimidazole
Helicobacter pylori rpoB mutation conferring resistance to rifampicin,Risk V,fluoroquinolone ; rifamycin
TolC,Risk V,multidrug
vanHF,Risk V,glycopeptide
AAC(6')-Im,Risk V,aminoglycoside
Escherichia coli mdfA,Risk V,tetracycline ; disinfecting agents and antiseptics
vanRC,Risk V,glycopeptide
AcrS,Risk V,multidrug
FosA7.5,Risk V,phosphonic acid
mdtN,Risk V,nucleoside ; disinfecting agents and antiseptics
EC-14,Risk V,cephalosporin
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",Risk V,multidrug
EC-15,Risk V,cephalosporin
AcrE,Risk V,multidrug
gadX,Risk V,multidrug
vanC,Risk V,glycopeptide
PmrF,Risk V,peptide
baeR,Risk V,aminoglycoside ; aminocoumarin
fosA5,Risk V,multidrug
vanXYC,Risk V,glycopeptide
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,Risk V,elfamycin
Escherichia coli acrA,Risk V,multidrug
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,Risk V,fluoroquinolone
OXA-136,Risk V,multidrug
vanTC,Risk V,glycopeptide
Klebsiella pneumoniae KpnH,Risk V,multidrug
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,Risk V,multidrug
ErmQ,Risk V,M-L-S
ArnT,Risk V,peptide
Erm(52),Risk V,M-L-S
marA,Risk V,multidrug
LnuP,Risk V,lincosamide
emrR,Risk V,fluoroquinolone
Klebsiella pneumoniae KpnE,Risk V,multidrug
nimG,Risk V,nitroimidazole
Escherichia coli soxS with mutation conferring antibiotic resistance,Risk V,multidrug
vanWG,Risk V,glycopeptide
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,Risk V,multidrug
Klebsiella pneumoniae KpnF,Risk V,multidrug
vanWB,Risk V,glycopeptide
vanHO,Risk V,glycopeptide
vanXYG,Risk V,glycopeptide
tetB(P),Risk V,tetracycline
tet(32),Risk V,tetracycline
tet(O/W/32/O),Risk V,tetracycline
tet(D),Risk IV,tetracycline
aadA7,Risk IV,aminoglycoside
OXA-58,Risk IV,multidrug
AAC(6')-Il,Risk IV,aminoglycoside
emtA,Risk IV,multidrug
CcrA,Risk IV,carbapenem
mphC,Risk IV,macrolide
mecR1,Risk IV,penam
lsaE,Risk IV,multidrug
msrA,Risk IV,multidrug
clcD,Risk IV,multidrug
AAC(6')-Ib9,Risk IV,aminoglycoside
APH(2'')-Ie,Risk IV,aminoglycoside
AAC(6')-Ia,Risk IV,aminoglycoside
LnuH,Risk IV,lincosamide
tet(59),Risk IV,tetracycline
Staphylococcus intermedius chloramphenicol acetyltransferase,Risk IV,phenicol
spd,Risk IV,aminoglycoside
vanF,Risk IV,glycopeptide
mecA,Risk IV,penam
ANT(9)-Ib,Risk IV,aminoglycoside
OXA-21,Risk IV,multidrug
catB8,Risk IV,phenicol
FosD,Risk IV,phosphonic acid
lnuF,Risk IV,lincosamide
vanXF,Risk IV,glycopeptide
bacA,Risk IV,peptide
CTX-M-65,Risk IV,cephalosporin
abeS,Risk IV,macrolide ; aminocoumarin
SAT-2,Risk IV,nucleoside
cfrC,Risk IV,multidrug
mphE,Risk IV,macrolide
CARB-3,Risk IV,penam
CMY-59,Risk IV,cephamycin
efmA,Risk IV,macrolide ; fluoroquinolone
EreA,Risk IV,macrolide
Erm(42),Risk IV,M-L-S
VEB-17,Risk IV,monobactam; cephalosporin
lnuG,Risk IV,lincosamide
aadA15,Risk IV,aminoglycoside
tet(33),Risk IV,tetracycline
APH(3')-VIa,Risk IV,aminoglycoside
MCR-1.1,Risk IV,peptide
linG,Risk III,lincosamide
aadA9,Risk III,aminoglycoside
emrK,Risk III,tetracycline
emrY,Risk III,tetracycline
cfr(D),Risk III,multidrug
NDM-5,Risk III,multidrug
BRP(MBL),Risk III,glycopeptide
ugd,Risk III,peptide
dfrG,Risk III,diaminopyrimidine
tet(C),Risk III,tetracycline
catII from Escherichia coli K-12,Risk III,phenicol
mdtM,Risk III,multidrug
kdpE,Risk III,aminoglycoside
leuO,Risk III,nucleoside ; disinfecting agents and antiseptics
FosBx1,Risk III,phosphonic acid
FosA8,Risk III,phosphonic acid
ANT(6)-Ib,Risk III,aminoglycoside
aadS,Risk III,aminoglycoside
dfrF,Risk III,diaminopyrimidine
nimB,Risk III,nitroimidazole
tet(O/32/O),Risk III,tetracycline
ErmG,Risk III,M-L-S
AAC(6')-Ib8,Risk III,aminoglycoside
vanYF,Risk III,glycopeptide
tet(Z),Risk III,tetracycline
evgA,Risk III,multidrug
dfrA1,Risk III,diaminopyrimidine
vanG,Risk III,glycopeptide
sul3,Risk III,sulfonamide
acrD,Risk III,aminoglycoside
ErmT,Risk III,M-L-S
vanYA,Risk III,glycopeptide
ErmC,Risk III,M-L-S
Campylobacter coli chloramphenicol acetyltransferase,Risk III,phenicol
oqxA,Risk III,multidrug
FosA3,Risk III,phosphonic acid
OXA-1,Risk III,multidrug
OXA-347,Risk III,multidrug
ANT(9)-Ia,Risk III,aminoglycoside
FosI,Risk III,phosphonic acid
ANT(3'')-IIa,Risk III,aminoglycoside
mphA,Risk III,macrolide
cpxA,Risk III,aminoglycoside ; aminocoumarin
APH(3')-IIa,Risk II,aminoglycoside
vanYM,Risk II,glycopeptide
nimA,Risk II,nitroimidazole
APH(2'')-If,Risk II,aminoglycoside
tet(X),Risk II,glycylcycline; tetracycline
lnuB,Risk II,lincosamide
Mrx,Risk II,macrolide
cmlA5,Risk II,phenicol
Erm(35),Risk II,M-L-S
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,Risk II,aminoglycoside
Mef(En2),Risk II,macrolide
EreD,Risk II,macrolide
aadA2,Risk II,aminoglycoside
tet(W/N/W),Risk II,tetracycline
catB3,Risk II,phenicol
vanWI,Risk II,glycopeptide
ErmX,Risk II,M-L-S
qacL,Risk II,disinfecting agents and antiseptics
cfrE,Risk II,multidrug
vanYG,Risk II,glycopeptide
tet(40),Risk II,tetracycline
tet(K),Risk II,tetracycline
mefH,Risk II,macrolide
AAC(3)-IIc,Risk II,aminoglycoside
dfrA12,Risk II,diaminopyrimidine
Vibrio anguillarum chloramphenicol acetyltransferase,Risk II,phenicol
CTX-M-55,Risk II,cephalosporin
npmA,Risk II,aminoglycoside
OXA-10,Risk II,multidrug
Escherichia coli emrE,Risk II,macrolide
H-NS,Risk II,multidrug
vanYB,Risk II,glycopeptide
AAC(6')-Ib-cr6,Risk II,fluoroquinolone ; aminoglycoside
APH(4)-Ia,Risk II,aminoglycoside
ANT(4')-Ia,Risk II,aminoglycoside
tet(S),Risk II,tetracycline
aadA16,Risk II,aminoglycoside
APH(6)-Id,Risk II,aminoglycoside
nimJ,Risk II,nitroimidazole
ANT(2'')-Ia,Risk II,aminoglycoside
EstT,Risk II,multidrug
arr-2,Risk II,rifamycin
vanTG,Risk II,glycopeptide
AAC(3)-IVa,Risk I,aminoglycoside
poxtA,Risk I,T-O-P
aadA5,Risk I,aminoglycoside
AAC(6')-IIa,Risk I,aminoglycoside
FosXCC,Risk I,phosphonic acid
aad(6),Risk I,aminoglycoside
adeF,Risk I,FT
dfrA27,Risk I,diaminopyrimidine
fexB,Risk I,phenicol
lnuA,Risk I,lincosamide
tet(R),Risk I,tetracycline
qacJ,Risk I,disinfecting agents and antiseptics
ErmF,Risk I,M-L-S
dfrA17,Risk I,diaminopyrimidine
dfrA14,Risk I,diaminopyrimidine
tet(B),Risk I,tetracycline
ANT(6)-Ia,Risk I,aminoglycoside
FosB3,Risk I,phosphonic acid
SAT-4,Risk I,nucleoside
Streptococcus suis chloramphenicol acetyltransferase,Risk I,phenicol
cfrA,Risk I,multidrug
arr-3,Risk I,rifamycin
qacG,Risk I,disinfecting agents and antiseptics
lnuC,Risk I,lincosamide
APH(3'')-Ib,Risk I,aminoglycoside
APH(3')-Ia,Risk I,aminoglycoside
tet(44),Risk I,tetracycline
tet(W),Risk I,tetracycline
catA8,Risk I,phenicol
sul1,Risk I,sulfonamide
ErmA,Risk I,M-L-S
ErmB,Risk I,M-L-S
sul2,Risk I,sulfonamide
TEM-1,Risk I,multidrug
QnrS1,Risk I,fluoroquinolone
APH(3')-IIIa,Risk I,aminoglycoside
tet(O),Risk I,tetracycline
qacEdelta1,Risk I,disinfecting agents and antiseptics
tet(A),Risk I,tetracycline
tet(Q),Risk I,tetracycline
fexA,Risk I,phenicol
tet(45),Risk I,tetracycline
tet(M),Risk I,tetracycline
